dates,staff,ctv_collected,canvass_period,dow,doors_knocked,doors_rate,doors_contacted
2020-10-12,Denis McDonough,6,1,Mon,0,0.7634336740942672,0
2020-05-28,Sylvia Mathews Burwell,6,1,Thu,38,0.19152579779038206,7
2020-06-20,Karen Mills,5,1,Sat,52,0.676650899334345,35
2020-08-03,Leon Panetta,14,1,Mon,0,0.027875397040043024,0
2020-10-15,Steven Chu,10,1,Thu,0,0.3786178353591822,0
2020-05-14,John Bryson,22,1,Thu,0,0.16961403329623861,0
2020-10-12,Hillary Clinton,10,1,Mon,0,0.5440316603286192,0
2020-10-22,Miriam Sapiro,29,1,Thu,0,0.8310172501485794,0
2020-08-22,Christina Romer,4,1,Sat,220,0.8019149656407535,176
2020-08-15,Ken Salazar,22,1,Sat,151,0.09456882157828658,14
2020-04-14,Rebecca Blank,11,1,Tue,0,0.030425378656946122,0
2020-05-15,Steven Chu,10,1,Fri,43,0.5236797740799375,22
2020-05-09,Ray LaHood,23,1,Sat,17,0.7108906134613789,12
2020-08-28,Steven Chu,19,1,Fri,46,0.3528832842130214,16
2020-06-23,Peter R. Orszag,30,1,Tue,0,0.08191912084585055,0
2020-09-15,Leon Panetta,23,1,Tue,0,0.6291284006438218,0
2020-07-18,Samantha Power,6,1,Sat,68,0.7554053445579484,51
2020-09-03,Gina McCarthy,5,1,Thu,33,0.6176897068042307,20
2020-11-02,John King Jr.,17,1,Mon,0,0.8023852064390666,0
2020-06-22,Jeh Johnson,24,1,Mon,0,0.7078210823587142,0
2020-09-16,Rebecca Blank,4,1,Wed,0,0.09863146264106035,0
2020-10-20,Arne Duncan,8,1,Tue,0,0.05093495941255242,0
2020-05-17,Chuck Hagel,8,1,Sun,59,0.5633154535782523,33
2020-08-20,Ray LaHood,7,1,Thu,19,0.3362008766969666,6
2020-04-28,Daniel Poneman,6,1,Tue,0,0.21394716046052054,0
2020-05-28,Lisa P. Jackson,23,1,Thu,18,0.5946555613074451,10
2020-06-23,Ernest Moniz,19,1,Tue,0,0.39284620175603774,0
2020-04-03,Ron Kirk,17,1,Fri,28,0.041683605732396246,1
2020-06-22,Samantha Power,23,1,Mon,0,0.635295891854912,0
2020-10-06,Michael Scuse,13,1,Tue,0,0.6695257633225992,0
2020-06-13,Sally Jewell,8,1,Sat,108,0.1785616237553768,19
2020-07-14,Austan Goolsbee,13,1,Tue,0,0.09275279432768002,0
2020-08-09,Kathleen Sebelius,8,1,Sun,0,0.48653900250792503,0
2020-07-17,Arne Duncan,11,1,Fri,53,0.4970128808170557,26
2020-05-11,Penny Pritzker,20,1,Mon,0,0.8262803651508875,0
2020-09-27,Timothy Geithner,11,1,Sun,37,0.1247500061406754,4
2020-08-24,Gary Locke,11,1,Mon,0,0.4506046470021829,0
2020-09-20,Edward C. Hugler,5,1,Sun,28,0.6989368972368538,19
2020-04-24,Robert Gates,3,1,Fri,30,0.6237128204084001,18
2020-09-05,Michael Froman,8,1,Sat,55,0.6309812402003444,34
2020-06-29,Tom Vilsack,19,1,Mon,0,0.3546021514688618,0
2020-09-26,Joe Biden,7,1,Sat,34,0.492473017424345,16
2020-08-19,Ash Carter,20,1,Wed,0,0.2154223547084257,0
2020-09-17,Eric Shinseki,9,1,Thu,23,0.5781972410273738,13
2020-07-30,Miriam Sapiro,9,1,Thu,0,0.5391282781609333,0
2020-07-24,Kathleen Sebelius,3,1,Fri,45,0.7915013321093284,35
2020-09-19,Peter R. Orszag,2,1,Sat,72,0.771495689812582,55
2020-04-06,Ernest Moniz,28,1,Mon,0,0.35768555143149566,0
